Date,Date,Open,High,Low,Close,Volume,K,D,Signal
1993-02-01,1993-02-01,0.47,0.49,0.44,0.46,1549996341.0,,,0.0
1993-03-01,1993-03-01,0.48,0.55,0.47,0.54,2346153204.0,,,0.0
1993-04-01,1993-04-01,0.54,0.56,0.46,0.49,1267738893.0,,,0.0
1993-05-01,1993-05-01,0.49,0.49,0.44,0.44,531568512.0,,,0.0
1993-06-01,1993-06-01,0.44,0.47,0.43,0.43,353719002.0,,,0.0
1993-07-01,1993-07-01,0.43,0.43,0.4,0.42,254629300.0,,,0.0
1993-08-01,1993-08-01,0.42,0.46,0.42,0.44,552207854.0,,,0.0
1993-09-01,1993-09-01,0.44,0.49,0.38,0.48,467338706.0,,,0.0
1993-10-01,1993-10-01,0.48,0.51,0.48,0.51,780047866.0,71.96969696969698,42.424242424242415,
1993-11-01,1993-11-01,0.51,0.6,0.51,0.59,1295659715.0,95.45454545454548,70.07575757575758,-2.0
1993-12-01,1993-12-01,0.59,0.81,0.55,0.81,1611592593.0,98.4848484848485,88.63636363636367,-2.0
1994-01-01,1994-01-01,0.81,0.87,0.6,0.63,1999806411.0,82.1583178726036,92.0325706039992,
1994-02-01,1994-02-01,0.64,0.64,0.55,0.57,751606102.0,58.03244374672948,79.55853670139386,
1994-03-01,1994-03-01,0.57,0.67,0.56,0.63,1568916572.0,35.810221524507256,58.66699438128012,
1994-04-01,1994-04-01,0.61,0.78,0.61,0.74,2010267016.0,38.59508547008548,44.14591691377408,
1994-05-01,1994-05-01,0.75,1.71,0.72,1.67,728686080.0,63.086685823754806,45.83066427278252,
1994-06-01,1994-06-01,1.73,1.91,1.63,1.69,1559106735.0,79.91675118323194,60.532840825690755,
1994-07-01,1994-07-01,1.7,2.29,1.7,2.18,2547868265.0,91.33895734893521,78.114131451974,-1.0
1994-08-01,1994-08-01,2.18,2.56,2.05,2.51,3015410089.0,91.63368178159067,87.62979677125263,-1.0
1994-09-01,1994-09-01,2.4,2.51,2.1,2.35,854198290.0,93.22149081824881,92.06470998292491,-1.0
1994-10-01,1994-10-01,2.38,2.8,2.2,2.4,1686401302.0,83.9449399232008,89.60003750768011,
1994-11-01,1994-11-01,2.4,2.67,2.28,2.6,763422223.0,78.73903471729561,85.30182181958178,
1994-12-01,1994-12-01,2.61,2.97,2.59,2.7,684832731.0,72.76077384773039,78.48158282940896,
1995-01-01,1995-01-01,2.7,2.8,2.04,2.09,470028972.0,52.615566605748946,68.03845839025833,
1995-02-01,1995-02-01,2.09,2.3,1.85,2.19,1114980533.0,35.46188695206928,53.61274246851622,
1995-03-01,1995-03-01,2.12,2.82,2.08,2.72,2758886895.0,37.80401945724525,41.96049100502117,
1995-04-01,1995-04-01,2.72,2.89,2.59,2.76,3361505439.0,63.095238095238074,45.45371483485088,
1995-05-01,1995-05-01,2.76,2.95,2.45,2.8,3044105041.0,81.76406926406924,60.88777560551753,
1995-06-01,1995-06-01,2.81,2.92,2.61,2.81,1150925467.0,84.96212121212118,76.60714285714283,
1995-07-01,1995-07-01,2.72,2.95,2.1,2.25,2127531137.0,64.39219784047368,77.03946277222137,
1995-08-01,1995-08-01,2.25,2.33,1.51,1.68,1205107660.0,39.539504237780086,62.96460776345831,
1995-09-01,1995-09-01,1.72,2.21,1.69,2.01,617133144.0,22.022669220945065,41.98479043306627,
1995-10-01,1995-10-01,2.01,2.3,1.96,2.1,443709997.0,29.166666666666657,30.242946708463933,
1995-11-01,1995-11-01,2.03,2.14,1.63,1.68,1438248614.0,29.166666666666657,26.78533418475946,
1995-12-01,1995-12-01,1.72,1.98,1.65,1.95,1570258178.0,35.47877145438121,31.270701595904843,
1996-01-01,1996-01-01,1.95,2.01,1.64,1.68,821651224.0,24.308926236028526,29.651454785692135,
1996-02-01,1996-02-01,1.68,1.7,1.33,1.33,1282322074.0,20.373741050843343,26.720479580417692,
1996-03-01,1996-03-01,1.35,1.49,1.24,1.43,2923000163.0,9.524599226091762,18.069088837654544,2.0
