Date,Date,Open,High,Low,Close,Volume,K_BUY,D_BUY,K_SELL,D_SELL,Signal_Buy,Signal_Sell,Signal
1993-02-01,1993-02-01,0.47,0.49,0.44,0.46,1549996341.0,,,,,0.0,0.0,0
1993-03-01,1993-03-01,0.48,0.55,0.47,0.54,2346153204.0,,,,,0.0,0.0,0
1993-04-01,1993-04-01,0.54,0.56,0.46,0.49,1267738893.0,,,,,0.0,0.0,0
1993-05-01,1993-05-01,0.49,0.49,0.44,0.44,531568512.0,,,,,0.0,0.0,0
1993-06-01,1993-06-01,0.44,0.47,0.43,0.43,353719002.0,,,,,0.0,0.0,0
1993-07-01,1993-07-01,0.43,0.43,0.4,0.42,254629300.0,12.499999999999973,4.166666666666658,,,1.0,0.0,1
1993-08-01,1993-08-01,0.42,0.46,0.42,0.44,552207854.0,44.44444444444444,18.98148148148147,,,,0.0,0
1993-09-01,1993-09-01,0.44,0.49,0.38,0.48,467338706.0,90.9090909090909,49.28451178451178,,,,0.0,0
1993-10-01,1993-10-01,0.48,0.51,0.48,0.51,780047866.0,100.00000000000001,78.45117845117846,,,,0.0,0
1993-11-01,1993-11-01,0.51,0.6,0.51,0.59,1295659715.0,95.45454545454545,95.45454545454545,,,,0.0,0
1993-12-01,1993-12-01,0.59,0.81,0.55,0.81,1611592593.0,99.99999999999999,98.48484848484848,,,,0.0,0
1994-01-01,1994-01-01,0.81,0.87,0.6,0.63,1999806411.0,38.46153846153847,77.97202797202796,,,,0.0,0
1994-02-01,1994-02-01,0.64,0.64,0.55,0.57,751606102.0,16.66666666666665,51.7094017094017,,,,0.0,0
1994-03-01,1994-03-01,0.57,0.67,0.56,0.63,1568916572.0,24.99999999999999,26.709401709401703,,,,0.0,0
1994-04-01,1994-04-01,0.61,0.78,0.61,0.74,2010267016.0,59.374999999999986,33.68055555555554,,,,0.0,0
1994-05-01,1994-05-01,0.75,1.71,0.72,1.67,728686080.0,96.55172413793103,60.308908045977,,,,0.0,0
1994-06-01,1994-06-01,1.73,1.91,1.63,1.69,1559106735.0,83.70370370370371,79.87680928054489,,,,0.0,0
1994-07-01,1994-07-01,1.7,2.29,1.7,2.18,2547868265.0,93.45238095238095,91.23593626467188,,,,0.0,0
1994-08-01,1994-08-01,2.18,2.56,2.05,2.51,3015410089.0,97.28260869565217,91.47956445057893,,,,0.0,0
1994-09-01,1994-09-01,2.4,2.51,2.1,2.35,854198290.0,77.4193548387097,89.38478149558092,,,,0.0,0
1994-10-01,1994-10-01,2.38,2.8,2.2,2.4,1686401302.0,63.63636363636363,79.44610905690848,,,,0.0,0
1994-11-01,1994-11-01,2.4,2.67,2.28,2.6,763422223.0,73.33333333333337,71.46301726946888,,,,0.0,0
