Date,Date,Open,High,Low,Close,Volume,K,D,Signal
2000-02-01,2000-02-01,9.56,9.71,8.37,8.37,1730547245187000.0,,,0.0
2000-03-01,2000-03-01,8.47,9.19,7.13,8.94,2458926831967200.0,,,0.0
2000-04-01,2000-04-01,8.94,9.66,7.44,7.85,2376273829212000.0,,,0.0
2000-05-01,2000-05-01,7.85,7.85,6.82,7.33,947926625348700.0,,,0.0
2000-06-01,2000-06-01,7.44,7.7,6.25,6.51,542715315036250.0,,,0.0
2000-07-01,2000-07-01,6.61,6.87,5.93,6.19,468894849742.0,,,0.0
2000-08-01,2000-08-01,6.24,6.3,5.16,5.36,309276849532.0,,,0.0
2000-09-01,2000-09-01,5.36,5.41,4.38,4.81,538166251714.0,,,0.0
2000-10-01,2000-10-01,4.35,5.08,3.67,4.4,816139438772.0,11.650173066924951,8.631867617689634,1.0
2000-11-01,2000-11-01,4.3,5.05,3.43,4.8,558489063989.0,23.443885383893075,14.343228890667936,
2000-12-01,2000-12-01,4.72,5.12,4.44,4.47,333511974.0,31.39221970461792,22.162092718478647,
2001-01-01,2001-01-01,4.47,5.74,4.08,5.66,785649802.0,57.53310391001825,37.45640299950975,
2001-02-01,2001-02-01,5.64,5.93,5.21,5.58,771322445.0,72.9245767782353,53.94996679762382,
2001-03-01,2001-03-01,5.49,6.86,5.49,6.5,1154960188.0,90.68038990487969,73.71269019771107,-1.0
2001-04-01,2001-04-01,6.56,6.72,5.52,5.53,578735544.0,75.88754885304583,79.8308385120536,
2001-05-01,2001-05-01,5.53,5.77,4.47,5.11,513720400.0,59.57100209045591,75.37964694946048,
2001-06-01,2001-06-01,5.08,6.18,4.64,4.8,334054515.0,34.33872149142611,56.59909081164261,
2001-07-01,2001-07-01,4.87,4.96,3.53,3.98,312643110.0,21.457134868832288,38.45561948357143,
2001-08-01,2001-08-01,4.0,4.26,3.55,3.91,352629074.0,13.077756866531935,22.95787107559677,1.0
2001-09-01,2001-09-01,4.0,4.16,2.52,2.84,325759034.0,11.389636205916588,15.308175980426931,1.0
2001-10-01,2001-10-01,2.84,3.21,2.71,2.94,281975767.0,10.710268313433941,11.725887128627482,1.0
2001-11-01,2001-11-01,2.98,3.52,2.93,3.39,781710035.0,18.624772313296898,13.574892277549134,
2001-12-01,2001-12-01,3.52,4.87,3.48,4.87,1182945230.0,49.04371584699453,26.12625215790845,
2002-01-01,2002-01-01,4.87,6.41,4.57,5.8,1063004397.0,73.32483459058535,46.99777425029225,
2002-02-01,2002-02-01,5.73,6.28,5.0,5.44,396454701.0,86.0341832835406,69.46757790704015,
2002-03-01,2002-03-01,5.39,6.28,5.19,5.83,685417364.0,80.47862772798506,79.94588186737032,
2002-04-01,2002-04-01,5.82,6.39,5.57,5.59,681916352.0,76.3769229980834,80.96324466986967,
