起始資金NT$ 100,000
買進 >> 月線 2001-03-01, 收盤價 6.14, 數量:16000, 訊號 2
買入 價格: 6.14 成本: 98240.00 手續費: 139.99
買進 >> 月線 2001-04-01, 收盤價 5.05, 數量:0, 訊號 2
買進 >> 月線 2001-05-01, 收盤價 5.08, 數量:0, 訊號 1
買進 >> 月線 2001-06-01, 收盤價 4.80, 數量:0, 訊號 2
買進 >> 月線 2001-09-01, 收盤價 3.24, 數量:0, 訊號 2
買進 >> 月線 2002-09-01, 收盤價 3.81, 數量:0, 訊號 2
買進 >> 月線 2003-04-01, 收盤價 7.76, 數量:0, 訊號 1
買進 >> 月線 2004-04-01, 收盤價 9.77, 數量:0, 訊號 2
買進 >> 月線 2005-05-01, 收盤價 11.67, 數量:0, 訊號 2
買進 >> 月線 2005-06-01, 收盤價 11.69, 數量:0, 訊號 2
買進 >> 月線 2005-07-01, 收盤價 10.90, 數量:0, 訊號 2
買進 >> 月線 2006-01-01, 收盤價 11.29, 數量:0, 訊號 2
買進 >> 月線 2006-02-01, 收盤價 11.59, 數量:0, 訊號 1
買進 >> 月線 2006-08-01, 收盤價 11.48, 數量:0, 訊號 2
買進 >> 月線 2008-01-01, 收盤價 16.62, 數量:0, 訊號 1
買進 >> 月線 2008-06-01, 收盤價 16.83, 數量:0, 訊號 2
買進 >> 月線 2008-07-01, 收盤價 13.97, 數量:0, 訊號 2
買進 >> 月線 2008-08-01, 收盤價 13.61, 數量:0, 訊號 2
買進 >> 月線 2008-09-01, 收盤價 10.82, 數量:0, 訊號 2
買進 >> 月線 2009-01-01, 收盤價 10.14, 數量:0, 訊號 2
買進 >> 月線 2009-02-01, 收盤價 10.06, 數量:0, 訊號 2
買進 >> 月線 2009-10-01, 收盤價 12.59, 數量:0, 訊號 2
買進 >> 月線 2009-11-01, 收盤價 12.52, 數量:0, 訊號 1
買進 >> 月線 2011-06-01, 收盤價 17.47, 數量:0, 訊號 1
買進 >> 月線 2011-07-01, 收盤價 14.94, 數量:0, 訊號 2
買進 >> 月線 2011-09-01, 收盤價 12.98, 數量:0, 訊號 1
買進 >> 月線 2012-05-01, 收盤價 12.96, 數量:0, 訊號 2
買進 >> 月線 2012-10-01, 收盤價 13.31, 數量:0, 訊號 2
買進 >> 月線 2013-04-01, 收盤價 15.25, 數量:0, 訊號 2
買進 >> 月線 2013-05-01, 收盤價 14.81, 數量:0, 訊號 2
買進 >> 月線 2013-06-01, 收盤價 14.50, 數量:0, 訊號 1
買進 >> 月線 2014-04-01, 收盤價 15.17, 數量:0, 訊號 1
買進 >> 月線 2014-06-01, 收盤價 14.41, 數量:0, 訊號 1
買進 >> 月線 2015-05-01, 收盤價 15.61, 數量:0, 訊號 2
買進 >> 月線 2015-06-01, 收盤價 14.15, 數量:0, 訊號 1
買進 >> 月線 2015-07-01, 收盤價 13.53, 數量:0, 訊號 2
買進 >> 月線 2015-11-01, 收盤價 11.64, 數量:0, 訊號 1
買進 >> 月線 2016-01-01, 收盤價 10.42, 數量:0, 訊號 1
買進 >> 月線 2016-10-01, 收盤價 10.60, 數量:0, 訊號 2
買進 >> 月線 2016-12-01, 收盤價 9.98, 數量:0, 訊號 2
買進 >> 月線 2017-12-01, 收盤價 14.89, 數量:0, 訊號 2
買進 >> 月線 2018-06-01, 收盤價 11.84, 數量:0, 訊號 2
買進 >> 月線 2018-10-01, 收盤價 11.10, 數量:0, 訊號 1
買進 >> 月線 2019-10-01, 收盤價 12.17, 數量:0, 訊號 2
買進 >> 月線 2019-11-01, 收盤價 12.16, 數量:0, 訊號 2
買進 >> 月線 2020-01-01, 收盤價 11.53, 數量:0, 訊號 2
買進 >> 月線 2020-03-01, 收盤價 9.07, 數量:0, 訊號 2
買進 >> 月線 2021-10-01, 收盤價 99.50, 數量:0, 訊號 2
最後資金NT$ 2,113,620




