"no","title","industry","market","publish","delisted"
"1101","台泥","水泥工業","上市","1962/02/09","N"
"1102","亞泥","水泥工業","上市","1962/06/08","N"
"1103","嘉泥","水泥工業","上市","1969/11/14","N"
"1104","環泥","水泥工業","上市","1971/02/01","N"
"1108","幸福","水泥工業","上市","1990/06/06","N"
"1109","信大","水泥工業","上市","1991/12/05","N"
"1110","東泥","水泥工業","上市","1994/10/22","N"
"1201","味全","食品工業","上市","1962/02/09","N"
"1203","味王","食品工業","上市","1964/08/24","N"
"1210","大成","食品工業","上市","1978/05/20","N"
"1213","大飲","食品工業","上市","1981/04/10","N"
"1215","卜蜂","食品工業","上市","1987/07/27","N"
"1216","統一","食品工業","上市","1987/12/28","N"
"1217","愛之味","食品工業","上市","1989/10/28","N"
"1218","泰山","食品工業","上市","1989/11/11","N"
"1219","福壽","食品工業","上市","1990/12/01","N"
"1220","台榮","食品工業","上市","1991/11/20","N"
"1225","福懋油","食品工業","上市","1993/09/27","N"
"1227","佳格","食品工業","上市","1994/04/09","N"
"1229","聯華","食品工業","上市","1976/07/19","N"
"1231","聯華食","食品工業","上市","1995/11/02","N"
"1232","大統益","食品工業","上市","1996/02/09","N"
"1233","天仁","食品工業","上市","1999/01/20","N"
"1234","黑松","食品工業","上市","1999/03/12","N"
"1235","興泰","食品工業","上市","2000/09/11","N"
"1236","宏亞","食品工業","上市","2001/09/17","N"
"1256","鮮活果汁-KY","食品工業","上市","2016/03/17","N"
"1301","台塑","塑膠工業","上市","1964/07/27","N"
"1303","南亞","塑膠工業","上市","1967/11/05","N"
"1304","台聚","塑膠工業","上市","1972/05/20","N"
"1305","華夏","塑膠工業","上市","1973/03/05","N"
"1307","三芳","塑膠工業","上市","1985/11/23","N"
"1308","亞聚","塑膠工業","上市","1986/06/20","N"
"1309","台達化","塑膠工業","上市","1986/06/27","N"
"1310","台苯","塑膠工業","上市","1987/08/06","N"
"1312","國喬","塑膠工業","上市","1988/12/21","N"
"1313","聯成","塑膠工業","上市","1989/03/27","N"
"1314","中石化","塑膠工業","上市","1991/07/12","N"
"1315","達新","塑膠工業","上市","1992/05/09","N"
"1316","上曜","建材營造業","上市","1992/10/15","N"
"1319","東陽","汽車工業","上市","1994/12/12","N"
"1321","大洋","塑膠工業","上市","1999/01/26","N"
"1323","永裕","塑膠工業","上市","2000/09/11","N"
"1324","地球","塑膠工業","上市","2000/09/11","N"
"1325","恆大","塑膠工業","上市","2000/09/11","N"
"1326","台化","塑膠工業","上市","1984/12/20","N"
"1337","再生-KY","塑膠工業","上市","2011/07/01","N"
"1338","廣華-KY","汽車工業","上市","2012/12/19","N"
"1339","昭輝","汽車工業","上市","2012/04/24","N"
"1340","勝悅-KY","塑膠工業","上市","2013/12/06","N"
