,close,high-low,high-close,low-close,tr,atr
0,79.95,0.67,,,0.67,
1,79.76,0.87,0.39,0.48,0.87,
2,79.08,0.48,0.29,0.77,0.77,
3,79.95,0.77,1.35,0.58,1.35,
4,84.77,4.82,5.02,0.2,5.02,
5,84.49,2.31,1.74,0.57,2.31,
6,85.84,1.06,1.63,0.57,1.63,
7,84.58,1.55,0.29,1.84,1.84,
8,84.49,2.6,0.77,1.83,2.6,
9,84.58,1.26,1.35,0.09,1.35,
10,84.0,1.74,0.58,1.16,1.74,
11,85.06,0.77,1.06,0.29,1.06,
12,84.68,0.77,0.2,0.57,0.77,
13,84.58,0.67,0.38,0.29,0.67,1.62
14,84.87,1.54,0.77,0.77,1.54,1.61
15,84.58,2.89,2.41,0.48,2.89,1.7
16,85.64,1.06,1.64,0.58,1.64,1.7
17,86.41,0.86,1.06,0.2,1.06,1.65
18,88.54,1.35,2.51,1.16,2.51,1.71
19,88.54,1.15,1.15,0.0,1.15,1.67
20,87.19,1.35,0.0,1.35,1.35,1.65
21,88.34,1.44,1.15,0.29,1.44,1.63
22,88.73,0.87,0.39,0.48,0.87,1.58
23,96.35,6.46,7.71,1.25,7.71,2.02
24,100.3,3.86,4.92,1.06,4.92,2.23
25,101.27,6.75,4.82,1.93,6.75,2.55
26,103.2,2.41,2.89,0.48,2.89,2.57
27,104.16,3.38,2.41,0.97,3.38,2.63
28,103.68,2.41,0.96,1.45,2.41,2.61
29,100.3,3.86,0.48,4.34,4.34,2.73
30,102.71,1.93,2.9,0.97,2.9,2.74
31,111.88,8.68,10.13,1.45,10.13,3.27
32,111.39,5.79,2.89,2.9,5.79,3.45
33,109.95,4.83,0.49,4.34,4.83,3.55
34,110.91,2.41,2.41,0.0,2.41,3.47
35,110.43,4.34,3.38,0.96,4.34,3.53
36,112.84,2.41,2.89,0.48,2.89,3.48
37,117.18,4.34,4.34,0.0,4.34,3.54
38,118.63,6.27,2.41,3.86,6.27,3.74
39,117.66,4.83,1.93,2.9,4.83,3.82
40,118.63,1.93,2.41,0.48,2.41,3.72
41,114.29,2.9,1.93,4.83,4.83,3.8
42,107.54,8.19,1.44,6.75,8.19,4.11
43,108.98,6.27,2.89,3.38,6.27,4.26
44,112.36,3.85,4.82,0.97,4.82,4.3
45,112.36,3.38,1.93,1.45,3.38,4.23
46,109.95,2.9,0.48,3.38,3.38,4.17
47,109.46,3.38,2.41,0.97,3.38,4.11
48,109.95,3.38,2.42,0.96,3.38,4.06
49,108.98,1.45,0.48,0.97,1.45,3.87
50,106.09,2.89,0.48,3.37,3.37,3.83
51,107.05,2.9,3.86,0.96,3.86,3.83
52,107.54,3.86,1.45,2.41,3.86,3.83
53,106.57,3.38,2.41,0.97,3.38,3.8
54,112.36,2.41,5.79,3.38,5.79,3.94
55,108.02,2.89,1.45,4.34,4.34,3.97
56,108.02,2.41,2.41,0.0,2.41,3.86
57,111.39,3.86,3.86,0.0,3.86,3.86
58,110.43,3.86,0.49,3.37,3.86,3.86
59,110.91,3.38,1.45,1.93,3.38,3.83
60,109.46,3.38,1.45,1.93,3.38,3.8
61,110.91,2.89,1.45,1.44,2.89,3.74
