,close,sma,std,up,dn
0,79.95,,,,
1,79.76,,,,
2,79.08,,,,
3,79.95,,,,
4,84.77,80.7,2.3,85.31,76.1
5,84.49,81.61,2.78,87.17,76.05
6,85.84,82.83,3.08,88.99,76.67
7,84.58,83.93,2.29,88.5,79.35
8,84.49,84.83,0.57,85.98,83.69
9,84.58,84.8,0.59,85.97,83.63
10,84.0,84.7,0.68,86.06,83.33
11,85.06,84.54,0.38,85.3,83.79
12,84.68,84.56,0.38,85.33,83.8
13,84.58,84.58,0.38,85.34,83.82
14,84.87,84.64,0.4,85.44,83.84
15,84.58,84.75,0.21,85.17,84.34
16,85.64,84.87,0.45,85.76,83.98
17,86.41,85.22,0.8,86.81,83.62
18,88.54,86.01,1.58,89.18,82.84
19,88.54,86.74,1.77,90.27,83.21
20,87.19,87.26,1.29,89.84,84.69
21,88.34,87.8,0.96,89.73,85.88
22,88.73,88.27,0.62,89.5,87.03
23,96.35,89.83,3.69,97.22,82.44
24,100.3,92.18,5.81,103.8,80.57
25,101.27,95.0,6.18,107.36,82.63
26,103.2,97.97,5.74,109.44,86.5
27,104.16,101.06,3.04,107.14,94.97
28,103.68,102.52,1.66,105.84,99.21
29,100.3,102.52,1.66,105.84,99.21
30,102.71,102.81,1.5,105.82,99.8
31,111.88,104.55,4.36,113.27,95.82
32,111.39,105.99,5.3,116.59,95.39
33,109.95,107.25,5.36,117.96,96.53
34,110.91,109.37,3.79,116.95,101.79
35,110.43,110.91,0.76,112.44,109.39
36,112.84,111.1,1.11,113.32,108.89
37,117.18,112.26,2.96,118.18,106.34
38,118.63,114.0,3.71,121.43,106.57
39,117.66,115.35,3.53,122.42,108.28
40,118.63,116.99,2.4,121.79,112.18
41,114.29,117.28,1.78,120.85,113.71
42,107.54,115.35,4.72,124.78,105.92
43,108.98,113.42,5.0,123.43,103.41
44,112.36,112.36,4.41,121.17,103.55
45,112.36,111.11,2.76,116.63,105.58
46,109.95,110.24,2.12,114.47,106.0
47,109.46,110.62,1.62,113.87,107.38
48,109.95,110.82,1.42,113.66,107.97
49,108.98,110.14,1.3,112.75,107.53
50,106.09,108.89,1.61,112.11,105.66
51,107.05,108.31,1.66,111.62,104.99
52,107.54,107.92,1.54,111.0,104.84
53,106.57,107.25,1.11,109.47,105.03
54,112.36,107.92,2.54,113.0,102.84
55,108.02,108.31,2.33,112.97,103.65
56,108.02,108.5,2.24,112.97,104.03
57,111.39,109.27,2.47,114.22,104.33
58,110.43,110.04,1.97,113.98,106.1
59,110.91,109.75,1.62,112.99,106.52
60,109.46,110.04,1.34,112.72,107.37
61,110.91,110.62,0.73,112.08,109.16
62,111.39,110.62,0.73,112.08,109.16
63,112.84,111.1,1.21,113.53,108.68
64,115.73,112.07,2.38,116.82,107.31
65,116.7,113.51,2.59,118.69,108.34
66,118.63,115.06,2.93,120.91,109.2
67,121.52,117.08,3.24,123.57,110.6
68,124.9,119.5,3.74,126.98,112.01
69,119.11,120.17,3.15,126.48,113.87
70,125.38,121.91,3.15,128.21,115.6
71,125.86,123.35,2.92,129.2,117.51
72,123.45,123.74,2.74,129.22,118.26
73,122.0,123.16,2.74,128.64,117.68
74,122.0,123.74,1.83,127.39,120.09
75,123.93,123.45,1.6,126.65,120.25
76,124.9,123.26,1.26,125.78,120.74
77,119.59,122.48,2.05,126.58,118.39
78,117.18,121.52,3.16,127.85,115.19
79,119.11,120.94,3.31,127.57,114.31
80,118.14,119.78,3.01,125.8,113.77
81,115.73,117.95,1.55,121.05,114.85
82,116.22,117.28,1.38,120.04,114.51
83,118.14,117.47,1.43,120.33,114.61
84,117.18,117.08,1.1,119.28,114.89
85,116.7,116.79,0.93,118.65,114.94
86,119.11,117.47,1.16,119.79,115.15
87,117.18,117.66,0.96,119.59,115.73
88,117.66,117.57,0.93,119.42,115.71
89,115.73,117.28,1.25,119.77,114.78
90,113.32,116.6,2.2,120.99,112.21
91,114.77,115.73,1.77,119.28,112.19
92,113.32,114.96,1.82,118.61,111.31
93,114.29,114.29,1.02,116.33,112.24
94,112.84,113.71,0.79,115.3,112.12
95,111.88,113.42,1.15,115.72,111.12
96,108.5,112.17,2.23,116.62,107.71
97,104.64,110.43,3.87,118.18,102.68
98,106.09,108.79,3.55,115.9,101.68
99,108.5,107.92,2.76,113.44,102.4
100,113.32,108.21,3.3,114.81,101.61
101,108.98,108.31,3.32,114.94,101.67
102,103.2,108.02,3.75,115.51,100.52
103,98.37,106.47,5.78,118.03,94.91
104,99.34,104.64,6.4,117.43,91.85
105,100.78,102.13,4.24,110.61,93.66
106,94.71,99.28,3.14,105.55,93.01
107,103.2,99.28,3.14,105.55,93.01
108,101.27,99.86,3.19,106.25,93.47
109,102.23,100.44,3.33,107.11,93.77
110,105.61,101.4,4.08,109.55,93.25
111,105.61,103.58,1.97,107.53,99.64
112,108.02,104.55,2.76,110.06,99.03
113,107.54,105.8,2.28,110.36,101.24
114,105.61,106.48,1.2,108.88,104.08
115,107.05,106.77,1.11,108.99,104.55
116,109.46,107.54,1.4,110.34,104.73
117,110.43,108.02,1.93,111.87,104.16
118,108.02,108.11,1.91,111.93,104.29
119,107.05,108.4,1.5,111.41,105.4
120,108.02,108.6,1.34,111.27,105.92
121,106.57,108.02,1.49,110.99,105.04
122,106.57,107.25,0.73,108.71,105.78
