,high,low,closes,cdp,ah,nh,nl,al
0,79.95,79.28,79.95,,,,,
1,80.34,79.47,79.76,79.78,80.45,80.28,79.61,79.11
2,79.47,78.99,79.08,79.83,80.7,80.2,79.33,78.96
3,80.43,79.66,79.95,79.16,79.64,79.32,78.84,78.68
4,84.97,80.15,84.77,80.0,80.77,80.34,79.56,79.23
5,86.51,84.2,84.49,83.66,88.48,87.18,82.36,78.84
6,86.12,85.06,85.84,84.92,87.23,85.64,83.34,82.61
7,85.55,84.0,84.58,85.72,86.78,86.37,85.31,84.66
8,85.35,82.75,84.49,84.68,86.23,85.36,83.81,83.13
9,85.84,84.58,84.58,84.27,86.87,85.79,83.19,81.67
10,85.16,83.42,84.0,84.9,86.16,85.21,83.95,83.64
11,85.06,84.29,85.06,84.14,85.88,84.87,83.13,82.4
12,85.26,84.49,84.68,84.87,85.64,85.44,84.68,84.1
13,85.06,84.39,84.58,84.78,85.55,85.07,84.3,84.01
14,85.35,83.81,84.87,84.65,85.32,84.92,84.24,83.98
15,87.28,84.39,84.58,84.72,86.26,85.64,84.1,83.18
16,86.22,85.16,85.64,85.21,88.1,86.03,83.14,82.32
17,86.7,85.84,86.41,85.66,86.72,86.17,85.11,84.6
18,88.92,87.57,88.54,86.34,87.2,86.84,85.98,85.48
19,89.69,88.54,88.54,88.39,89.74,89.22,87.87,87.04
20,88.54,87.19,87.19,88.83,89.98,89.12,87.97,87.68
21,88.34,86.9,88.34,87.53,88.88,87.86,86.52,86.18
22,88.73,87.86,88.73,87.98,89.42,89.06,87.62,86.54
23,96.44,89.98,96.35,88.51,89.38,89.16,88.3,87.64
24,101.27,97.41,100.3,94.78,101.24,99.58,93.12,88.32
25,105.12,98.37,101.27,99.82,103.68,102.23,98.37,95.96
26,104.16,101.75,103.2,101.51,108.26,104.64,97.89,94.76
27,105.61,102.23,104.16,103.08,105.49,104.4,102.0,100.67
28,105.12,102.71,103.68,104.04,107.42,105.85,102.47,100.66
29,103.2,99.34,100.3,103.8,106.21,104.88,102.48,101.39
30,103.2,101.27,102.71,100.78,104.64,102.23,98.37,96.92
31,112.84,104.16,111.88,102.47,104.4,103.68,101.74,100.54
32,114.77,108.98,111.39,110.19,118.87,116.22,107.54,101.51
33,111.88,107.05,109.95,111.63,117.42,114.28,108.49,105.84
34,112.36,109.95,110.91,109.71,114.54,112.37,107.54,104.88
35,114.29,109.95,110.43,111.03,113.44,112.12,109.7,108.62
36,113.32,110.91,112.84,111.28,115.62,112.6,108.26,106.94
37,117.18,112.84,117.18,112.48,114.89,114.04,111.64,110.07
38,119.59,113.32,118.63,116.1,120.44,119.35,115.01,111.76
39,120.56,115.73,117.66,117.54,123.81,121.76,115.49,111.27
40,120.07,118.14,118.63,117.9,122.73,120.08,115.24,113.07
41,116.7,113.8,114.29,118.87,120.8,119.59,117.66,116.94
42,115.73,107.54,107.54,114.77,117.67,115.74,112.84,111.87
43,110.43,104.16,108.98,109.59,117.78,111.64,103.44,101.4
44,113.8,109.95,112.36,108.14,114.41,112.12,105.84,101.87
45,114.29,110.91,112.36,112.12,115.97,114.29,110.44,108.27
46,111.88,108.98,109.95,112.48,115.86,114.05,110.67,109.1
47,112.36,108.98,109.46,110.19,113.09,111.4,108.5,107.29
48,111.88,108.5,109.95,110.06,113.44,111.15,107.77,106.68
49,110.43,108.98,108.98,110.07,113.45,111.64,108.26,106.69
50,108.5,105.61,106.09,109.34,110.79,109.7,108.26,107.89
51,109.95,107.05,107.05,106.57,109.46,107.54,104.65,103.68
52,108.5,104.64,107.54,107.78,110.68,108.5,105.6,104.88
53,109.95,106.57,106.57,107.06,110.92,109.47,105.61,103.2
54,112.36,109.95,112.36,107.42,110.8,108.26,104.88,104.03
55,110.91,108.02,108.02,111.76,114.17,113.56,111.15,109.35
56,110.43,108.02,108.02,108.74,111.63,109.47,106.58,105.85
57,111.88,108.02,111.39,108.62,111.03,109.22,106.82,106.21
58,111.88,108.02,110.43,110.67,114.53,113.32,109.46,106.81
59,111.88,108.5,110.91,110.19,114.05,112.36,108.5,106.33
60,112.36,108.98,109.46,110.55,113.93,112.6,109.22,107.17
61,110.91,108.02,110.91,110.06,113.44,111.15,107.77,106.68
62,112.84,110.91,111.39,110.19,113.08,112.36,109.46,107.3
63,113.8,111.88,112.84,111.63,113.56,112.35,110.42,109.7
64,115.73,113.32,115.73,112.84,114.76,113.8,111.88,110.92
65,117.66,114.29,116.7,115.13,117.54,116.94,114.52,112.72
66,119.11,116.7,118.63,116.34,119.71,118.38,115.02,112.97
67,123.45,118.63,121.52,118.27,120.68,119.84,117.42,115.86
68,126.82,123.45,124.9,121.28,126.1,123.93,119.11,116.46
69,122.48,119.11,119.11,125.02,128.39,126.58,123.22,121.65
70,125.38,119.59,125.38,119.95,123.32,120.8,117.42,116.58
71,129.72,125.38,125.86,123.93,129.72,128.28,122.49,118.14
