,high,low,close,up,dn,md
0,79.95,79.28,79.95,,,
1,80.34,79.47,79.76,,,
2,79.47,78.99,79.08,,,
3,80.43,79.66,79.95,,,
4,84.97,80.15,84.77,,,
5,86.51,84.2,84.49,,,
6,86.12,85.06,85.84,,,
7,85.55,84.0,84.58,,,
8,85.35,82.75,84.49,,,
9,85.84,84.58,84.58,,,
10,85.16,83.42,84.0,,,
11,85.06,84.29,85.06,,,
12,85.26,84.49,84.68,,,
13,85.06,84.39,84.58,,,
14,85.35,83.81,84.87,,,
15,87.28,84.39,84.58,,,
16,86.22,85.16,85.64,,,
17,86.7,85.84,86.41,,,
18,88.92,87.57,88.54,,,
19,89.69,88.54,88.54,89.69,78.99,84.34
20,88.54,87.19,87.19,89.69,78.99,84.34
21,88.34,86.9,88.34,89.69,78.99,84.34
22,88.73,87.86,88.73,89.69,79.66,84.68
23,96.44,89.98,96.35,96.44,80.15,88.3
24,101.27,97.41,100.3,101.27,82.75,92.01
25,105.12,98.37,101.27,105.12,82.75,93.94
26,104.16,101.75,103.2,105.12,82.75,93.94
27,105.61,102.23,104.16,105.61,82.75,94.18
28,105.12,102.71,103.68,105.61,83.42,94.52
29,103.2,99.34,100.3,105.61,83.42,94.52
30,103.2,101.27,102.71,105.61,83.81,94.71
31,112.84,104.16,111.88,112.84,83.81,98.32
32,114.77,108.98,111.39,114.77,83.81,99.29
33,111.88,107.05,109.95,114.77,83.81,99.29
34,112.36,109.95,110.91,114.77,84.39,99.58
35,114.29,109.95,110.43,114.77,85.16,99.96
36,113.32,110.91,112.84,114.77,85.84,100.3
37,117.18,112.84,117.18,117.18,86.9,102.04
38,119.59,113.32,118.63,119.59,86.9,103.24
39,120.56,115.73,117.66,120.56,86.9,103.73
40,120.07,118.14,118.63,120.56,86.9,103.73
41,116.7,113.8,114.29,120.56,87.86,104.21
42,115.73,107.54,107.54,120.56,89.98,105.27
43,110.43,104.16,108.98,120.56,97.41,108.98
44,113.8,109.95,112.36,120.56,98.37,109.46
45,114.29,110.91,112.36,120.56,99.34,109.95
46,111.88,108.98,109.95,120.56,99.34,109.95
47,112.36,108.98,109.46,120.56,99.34,109.95
48,111.88,108.5,109.95,120.56,99.34,109.95
49,110.43,108.98,108.98,120.56,101.27,110.92
50,108.5,105.61,106.09,120.56,104.16,112.36
51,109.95,107.05,107.05,120.56,104.16,112.36
52,108.5,104.64,107.54,120.56,104.16,112.36
53,109.95,106.57,106.57,120.56,104.16,112.36
54,112.36,109.95,112.36,120.56,104.16,112.36
55,110.91,108.02,108.02,120.56,104.16,112.36
56,110.43,108.02,108.02,120.56,104.16,112.36
57,111.88,108.02,111.39,120.56,104.16,112.36
58,111.88,108.02,110.43,120.56,104.16,112.36
59,111.88,108.5,110.91,120.07,104.16,112.12
60,112.36,108.98,109.46,116.7,104.16,110.43
61,110.91,108.02,110.91,115.73,104.16,109.94
62,112.84,110.91,111.39,114.29,104.16,109.22
63,113.8,111.88,112.84,114.29,104.64,109.46
64,115.73,113.32,115.73,115.73,104.64,110.18
65,117.66,114.29,116.7,117.66,104.64,111.15
66,119.11,116.7,118.63,119.11,104.64,111.88
67,123.45,118.63,121.52,123.45,104.64,114.04
68,126.82,123.45,124.9,126.82,104.64,115.73
69,122.48,119.11,119.11,126.82,104.64,115.73
70,125.38,119.59,125.38,126.82,104.64,115.73
71,129.72,125.38,125.86,129.72,104.64,117.18
72,127.31,122.0,123.45,129.72,106.57,118.14
73,124.9,121.04,122.0,129.72,108.02,118.87
74,123.45,121.52,122.0,129.72,108.02,118.87
