,high,low,close,min,max,rsv,k,d,j,j2
0,79.95,79.28,79.95,,,50.0,50.0,50.0,50.0,50.0
1,80.34,79.47,79.76,,,50.0,50.0,50.0,50.0,50.0
2,79.47,78.99,79.08,,,50.0,50.0,50.0,50.0,50.0
3,80.43,79.66,79.95,,,50.0,50.0,50.0,50.0,50.0
4,84.97,80.15,84.77,,,50.0,50.0,50.0,50.0,50.0
5,86.51,84.2,84.49,,,50.0,50.0,50.0,50.0,50.0
6,86.12,85.06,85.84,,,50.0,50.0,50.0,50.0,50.0
7,85.55,84.0,84.58,,,50.0,50.0,50.0,50.0,50.0
8,85.35,82.75,84.49,78.99,86.51,73.14,57.71,52.57,42.29,67.99
9,85.84,84.58,84.58,78.99,86.51,74.34,63.25,56.13,41.89,77.49
10,85.16,83.42,84.0,78.99,86.51,66.62,64.37,58.88,47.9,75.35
11,85.06,84.29,85.06,79.66,86.51,78.83,69.19,62.32,48.58,82.93
12,85.26,84.49,84.68,80.15,86.51,71.23,69.87,64.84,54.78,79.93
13,85.06,84.39,84.58,82.75,86.51,48.67,62.8,64.16,66.88,60.08
14,85.35,83.81,84.87,82.75,86.12,62.91,62.84,63.72,65.48,61.08
15,87.28,84.39,84.58,82.75,87.28,40.4,55.36,60.93,72.07,44.22
16,86.22,85.16,85.64,82.75,87.28,63.8,58.17,60.01,63.69,54.49
17,86.7,85.84,86.41,83.42,87.28,77.46,64.6,61.54,55.42,70.72
18,88.92,87.57,88.54,83.42,88.92,93.09,74.1,65.73,48.99,90.84
19,89.69,88.54,88.54,83.81,89.69,80.44,76.21,69.22,55.24,90.19
20,88.54,87.19,87.19,83.81,89.69,57.48,69.97,69.47,68.47,70.97
21,88.34,86.9,88.34,83.81,89.69,77.04,72.33,70.42,66.6,76.15
22,88.73,87.86,88.73,83.81,89.69,83.67,76.11,72.32,64.74,83.69
23,96.44,89.98,96.35,84.39,96.44,99.25,83.82,76.15,60.81,99.16
24,101.27,97.41,100.3,85.16,101.27,93.98,87.21,79.84,65.1,101.95
25,105.12,98.37,101.27,85.84,105.12,80.03,84.82,81.5,74.86,91.46
26,104.16,101.75,103.2,86.9,105.12,89.46,86.37,83.12,76.62,92.87
27,105.61,102.23,104.16,86.9,105.61,92.25,88.33,84.86,77.92,95.27
28,105.12,102.71,103.68,86.9,105.61,89.68,88.78,86.17,80.95,94.0
29,103.2,99.34,100.3,86.9,105.61,71.62,83.06,85.13,89.27,78.92
30,103.2,101.27,102.71,87.86,105.61,83.66,83.26,84.51,87.01,80.76
31,112.84,104.16,111.88,89.98,112.84,95.8,87.44,85.49,81.59,91.34
32,114.77,108.98,111.39,97.41,114.77,80.53,85.14,85.37,85.83,84.68
33,111.88,107.05,109.95,98.37,114.77,70.61,80.3,83.68,90.44,73.54
34,112.36,109.95,110.91,99.34,114.77,74.98,78.53,81.96,88.82,71.67
35,114.29,109.95,110.43,99.34,114.77,71.87,76.31,80.08,87.62,68.77
36,113.32,110.91,112.84,99.34,114.77,87.49,80.04,80.07,80.13,79.98
37,117.18,112.84,117.18,99.34,117.18,100.0,86.69,82.28,73.46,95.51
38,119.59,113.32,118.63,101.27,119.59,94.76,89.38,84.65,75.19,98.84
39,120.56,115.73,117.66,104.16,120.56,82.32,87.03,85.44,82.26,90.21
40,120.07,118.14,118.63,107.05,120.56,85.71,86.59,85.82,84.28,88.13
41,116.7,113.8,114.29,107.05,120.56,53.59,75.59,82.41,96.05,61.95
42,115.73,107.54,107.54,107.54,120.56,0.0,50.39,71.74,114.44,7.69
43,110.43,104.16,108.98,104.16,120.56,29.39,43.39,62.29,100.09,5.59
44,113.8,109.95,112.36,104.16,120.56,50.0,45.59,56.72,78.98,23.33
45,114.29,110.91,112.36,104.16,120.56,50.0,47.06,53.5,66.38,34.18
46,111.88,108.98,109.95,104.16,120.56,35.3,43.14,50.05,63.87,29.32
