,high,low,close,high-max,low-min,close-ma,high-low,half,k,up,dn,up-ma,dn-ma
0,79.95,79.28,79.95,,,,0.67,79.62,0.01,81.55,77.69,,
1,80.34,79.47,79.76,,,,0.87,79.9,0.01,81.95,77.88,,
2,79.47,78.99,79.08,,,,0.48,79.23,0.01,81.06,77.41,,
3,80.43,79.66,79.95,,,,0.77,80.04,0.01,82.04,78.07,,
4,84.97,80.15,84.77,,,,4.82,82.56,0.06,95.17,70.53,,
5,86.51,84.2,84.49,,,,2.31,85.36,0.03,91.7,79.15,,
6,86.12,85.06,85.84,,,,1.06,85.59,0.01,87.84,83.36,,
7,85.55,84.0,84.58,,,,1.55,84.78,0.02,88.97,80.64,,
8,85.35,82.75,84.49,,,,2.6,84.05,0.03,90.47,77.78,,
9,85.84,84.58,84.58,,,,1.26,85.21,0.01,87.56,82.89,,
10,85.16,83.42,84.0,,,,1.74,84.29,0.02,88.57,80.08,,
11,85.06,84.29,85.06,,,,0.77,84.68,0.01,86.76,82.6,,
12,85.26,84.49,84.68,,,,0.77,84.88,0.01,86.97,82.8,,
13,85.06,84.39,84.58,,,,0.67,84.72,0.01,86.76,82.7,,
14,85.35,83.81,84.87,,,,1.54,84.58,0.02,88.76,80.46,,
15,87.28,84.39,84.58,,,,2.89,85.84,0.03,92.52,79.33,,
16,86.22,85.16,85.64,,,,1.06,85.69,0.01,87.94,83.46,,
17,86.7,85.84,86.41,,,,0.86,86.27,0.01,88.43,84.12,,
18,88.92,87.57,88.54,,,,1.35,88.24,0.02,92.48,84.07,,
19,89.69,88.54,88.54,89.69,78.99,84.22,1.15,89.12,0.01,91.48,86.77,87.95,80.59
20,88.54,87.19,87.19,89.69,78.99,84.58,1.35,87.86,0.02,92.08,83.7,88.48,80.89
21,88.34,86.9,88.34,89.69,78.99,85.01,1.44,87.62,0.02,91.87,83.42,88.97,81.17
22,88.73,87.86,88.73,89.69,79.66,85.49,0.87,88.3,0.01,90.5,86.1,89.44,81.6
23,96.44,89.98,96.35,96.44,80.15,86.31,6.46,93.21,0.07,109.94,77.38,90.84,81.57
24,101.27,97.41,100.3,101.27,82.75,87.09,3.86,99.34,0.04,109.37,89.62,91.55,82.52
25,105.12,98.37,101.27,105.12,82.75,87.93,6.75,101.74,0.07,119.84,84.6,92.96,82.79
26,104.16,101.75,103.2,105.12,82.75,88.8,2.41,102.96,0.02,108.33,97.68,93.98,83.51
27,105.61,102.23,104.16,105.61,82.75,89.78,3.38,103.92,0.03,111.95,96.1,95.13,84.28
28,105.12,102.71,103.68,105.61,83.42,90.73,2.41,103.92,0.02,109.32,98.6,96.07,85.32
29,103.2,99.34,100.3,105.61,83.42,91.52,3.86,101.27,0.04,111.46,91.39,97.27,85.75
30,103.2,101.27,102.71,105.61,83.81,92.46,1.93,102.24,0.02,107.33,97.22,98.2,86.61
31,112.84,104.16,111.88,112.84,83.81,93.8,8.68,108.5,0.08,130.89,87.49,100.41,86.85
32,114.77,108.98,111.39,114.77,83.81,95.13,5.79,111.88,0.05,126.25,98.08,102.38,87.61
33,111.88,107.05,109.95,114.77,83.81,96.4,4.83,109.46,0.04,120.83,98.49,104.08,88.4
34,112.36,109.95,110.91,114.77,84.39,97.7,2.41,111.16,0.02,116.85,105.55,105.48,89.66
35,114.29,109.95,110.43,114.77,85.16,99.0,4.34,112.12,0.04,123.43,101.15,107.03,90.75
36,113.32,110.91,112.84,114.77,85.84,100.36,2.41,112.12,0.02,117.85,106.47,108.52,91.9
37,117.18,112.84,117.18,117.18,86.9,101.89,4.34,115.01,0.04,126.55,103.81,110.43,92.88
38,119.59,113.32,118.63,119.59,86.9,103.4,6.27,116.46,0.05,131.55,101.99,112.38,93.78
39,120.56,115.73,117.66,120.56,86.9,104.85,4.83,118.15,0.04,130.2,106.47,114.32,94.77
40,120.07,118.14,118.63,120.56,86.9,106.43,1.93,119.1,0.02,124.87,113.41,115.96,96.25
41,116.7,113.8,114.29,120.56,87.86,107.72,2.9,115.25,0.03,123.7,106.97,117.55,97.43
42,115.73,107.54,107.54,120.56,89.98,108.66,8.19,111.64,0.07,131.93,92.48,119.62,97.75
43,110.43,104.16,108.98,120.56,97.41,109.3,6.27,107.3,0.06,123.68,91.66,120.31,98.46
44,113.8,109.95,112.36,120.56,98.37,109.9,3.85,111.88,0.03,120.63,103.35,120.87,99.15
45,114.29,110.91,112.36,120.56,99.34,110.45,3.38,112.6,0.03,121.15,104.26,120.94,100.13
46,111.88,108.98,109.95,120.56,99.34,110.79,2.9,110.43,0.03,118.59,102.44,121.45,100.37
47,112.36,108.98,109.46,120.56,99.34,111.06,3.38,110.67,0.03,119.1,102.44,121.81,100.69
48,111.88,108.5,109.95,120.56,99.34,111.37,3.38,110.19,0.03,118.59,101.99,122.27,100.86
49,110.43,108.98,108.98,120.56,101.27,111.8,1.45,109.71,0.01,112.64,106.8,122.33,101.63
50,108.5,105.61,106.09,120.56,104.16,111.97,2.89,107.06,0.03,115.01,99.27,122.71,101.73
51,109.95,107.05,107.05,120.56,104.16,111.73,2.9,108.5,0.03,116.55,100.63,122.0,102.39
52,108.5,104.64,107.54,120.56,104.16,111.54,3.86,106.57,0.04,117.18,96.27,121.54,102.3
53,109.95,106.57,106.57,120.56,104.16,111.37,3.38,108.26,0.03,116.55,100.18,121.33,102.38
54,112.36,109.95,112.36,120.56,104.16,111.44,2.41,111.16,0.02,116.85,105.55,121.33,102.38
55,110.91,108.02,108.02,120.56,104.16,111.32,2.89,109.46,0.03,117.56,101.54,121.04,102.4
56,110.43,108.02,108.02,120.56,104.16,111.08,2.41,109.22,0.02,114.85,103.7,120.89,102.26
57,111.88,108.02,111.39,120.56,104.16,110.79,3.86,109.95,0.04,120.83,99.38,120.6,102.04
58,111.88,108.02,110.43,120.56,104.16,110.38,3.86,109.95,0.04,120.83,99.38,120.06,101.91
59,111.88,108.5,110.91,120.07,104.16,110.04,3.38,110.19,0.03,118.59,101.99,119.48,101.68
60,112.36,108.98,109.46,116.7,104.16,109.59,3.38,110.67,0.03,119.1,102.44,119.2,101.14
61,110.91,108.02,110.91,115.73,104.16,109.42,2.89,109.46,0.03,117.56,101.54,118.89,100.86
62,112.84,110.91,111.39,114.29,104.16,109.61,1.93,111.88,0.02,117.35,106.47,118.16,101.56
63,113.8,111.88,112.84,114.29,104.64,109.8,1.92,112.84,0.02,118.35,107.4,117.89,102.35
64,115.73,113.32,115.73,115.73,104.64,109.97,2.41,114.52,0.02,120.36,108.79,117.88,102.62
65,117.66,114.29,116.7,117.66,104.64,110.19,3.37,115.98,0.03,124.72,107.43,118.06,102.78
66,119.11,116.7,118.63,119.11,104.64,110.62,2.41,117.9,0.02,123.87,112.03,118.32,103.26
67,123.45,118.63,121.52,123.45,104.64,111.22,4.82,121.04,0.04,133.33,109.14,119.03,103.6
68,126.82,123.45,124.9,126.82,104.64,111.97,3.37,125.14,0.03,134.43,116.04,119.83,104.3
69,122.48,119.11,119.11,126.82,104.64,112.48,3.37,120.8,0.03,129.83,111.96,120.68,104.56
70,125.38,119.59,125.38,126.82,104.64,113.44,5.79,122.48,0.05,137.92,107.63,121.83,104.97
71,129.72,125.38,125.86,129.72,104.64,114.38,4.34,127.55,0.03,137.5,117.86,122.88,105.84
72,127.31,122.0,123.45,129.72,106.57,115.18,5.31,124.66,0.04,137.49,112.24,123.89,106.63
73,124.9,121.04,122.0,129.72,108.02,115.95,3.86,122.97,0.03,132.39,113.78,124.69,107.31
74,123.45,121.52,122.0,129.72,108.02,116.43,1.93,122.48,0.02,128.39,116.66,125.26,107.87
75,124.41,122.97,123.93,129.72,108.02,117.23,1.44,123.69,0.01,126.9,120.51,125.73,108.82
76,125.38,123.93,124.9,129.72,108.02,118.07,1.45,124.66,0.01,127.89,121.45,126.38,109.71
77,122.0,118.63,119.59,129.72,108.02,118.48,3.37,120.32,0.03,129.32,111.51,126.81,110.31
78,121.04,116.22,117.18,129.72,108.02,118.82,4.82,118.63,0.04,130.72,106.92,127.3,110.69
79,120.07,118.14,119.11,129.72,108.02,119.23,1.93,119.1,0.02,124.87,113.41,127.61,111.26
80,118.63,117.18,118.14,129.72,108.02,119.66,1.45,117.9,0.01,121.0,114.84,127.71,111.88
81,118.63,115.73,115.73,129.72,110.91,119.9,2.9,117.18,0.02,123.38,111.1,128.0,112.36
82,117.66,114.77,116.22,129.72,111.88,120.15,2.89,116.22,0.02,122.37,110.18,128.25,112.54
83,118.63,116.7,118.14,129.72,113.32,120.41,1.93,117.66,0.02,123.38,112.03,128.5,112.78
84,119.11,114.77,117.18,129.72,114.29,120.48,4.34,116.94,0.04,128.64,105.59,128.92,112.62
85,116.7,115.25,116.7,129.72,114.77,120.48,1.45,115.98,0.01,119.03,112.94,128.63,112.89
86,119.59,117.66,119.11,129.72,114.77,120.51,1.93,118.62,0.02,124.37,112.95,128.66,112.94
87,119.11,117.18,117.18,129.72,114.77,120.29,1.93,118.15,0.02,123.87,112.49,128.18,113.1
88,117.66,116.7,117.66,129.72,114.77,119.93,0.96,117.18,0.01,120.01,114.37,127.46,113.02
89,117.18,115.73,115.73,129.72,114.77,119.76,1.45,116.46,0.01,119.52,113.42,126.95,113.09
90,117.66,113.32,113.32,129.72,113.32,119.16,4.34,115.49,0.04,127.07,104.25,126.41,112.92
91,114.77,112.84,114.77,127.31,112.84,118.6,1.93,113.8,0.02,119.36,108.33,125.5,112.45
92,115.73,113.32,113.32,125.38,112.84,118.1,2.41,114.52,0.02,120.36,108.79,124.64,112.28
