,close,mtm,sma_mtm
0,79.95,,
1,79.76,,
2,79.08,,
3,79.95,,
4,84.77,,
5,84.49,,
6,85.84,,
7,84.58,,
8,84.49,,
9,84.58,,
10,84.0,,
11,85.06,,
12,84.68,4.73,
13,84.58,4.82,
14,84.87,5.79,
15,84.58,4.63,
16,85.64,0.87,
17,86.41,1.92,
18,88.54,2.7,
19,88.54,3.96,
20,87.19,2.7,
21,88.34,3.76,
22,88.73,4.73,
23,96.35,11.29,4.32
24,100.3,15.62,5.23
25,101.27,16.69,6.22
26,103.2,18.33,7.27
27,104.16,19.58,8.51
28,103.68,18.04,9.94
29,100.3,13.89,10.94
30,102.71,14.17,11.9
31,111.88,23.34,13.51
32,111.39,24.2,15.3
33,109.95,21.61,16.79
34,110.91,22.18,18.24
35,110.43,14.08,18.48
36,112.84,12.54,18.22
37,117.18,15.91,18.16
38,118.63,15.43,17.91
39,117.66,13.5,17.41
40,118.63,14.95,17.15
41,114.29,13.99,17.16
42,107.54,4.83,16.38
43,108.98,-2.9,14.19
44,112.36,0.97,12.26
45,112.36,2.41,10.66
46,109.95,-0.96,8.73
47,109.46,-0.97,7.48
48,109.95,-2.89,6.19
49,108.98,-8.2,4.18
50,106.09,-12.54,1.85
51,107.05,-10.61,-0.16
52,107.54,-11.09,-2.33
53,106.57,-7.72,-4.14
54,112.36,4.82,-4.14
55,108.02,-0.96,-3.98
56,108.02,-4.34,-4.42
57,111.39,-0.97,-4.7
58,110.43,0.48,-4.58
59,110.91,1.45,-4.38
60,109.46,-0.49,-4.18
61,110.91,1.93,-3.34
62,111.39,5.3,-1.85
63,112.84,5.79,-0.48
64,115.73,8.19,1.12
65,116.7,10.13,2.61
66,118.63,6.27,2.73
67,121.52,13.5,3.94
68,124.9,16.88,5.71
69,119.11,7.72,6.43
70,125.38,14.95,7.63
71,125.86,14.95,8.76
72,123.45,13.99,9.97
73,122.0,11.09,10.73
74,122.0,10.61,11.17
75,123.93,11.09,11.61
76,124.9,9.17,11.7
77,119.59,2.89,11.09
78,117.18,-1.45,10.45
79,119.11,-2.41,9.12
80,118.14,-6.76,7.15
81,115.73,-3.38,6.23
82,116.22,-9.16,4.22
83,118.14,-7.72,2.33
84,117.18,-6.27,0.64
85,116.7,-5.3,-0.72
86,119.11,-2.89,-1.85
87,117.18,-6.75,-3.34
88,117.66,-7.24,-4.7
89,115.73,-3.86,-5.27
90,113.32,-3.86,-5.47
91,114.77,-4.34,-5.63
92,113.32,-4.82,-5.47
93,114.29,-1.44,-5.3
94,112.84,-3.38,-4.82
95,111.88,-6.26,-4.7
96,108.5,-8.68,-4.9
97,104.64,-12.06,-5.46
98,106.09,-13.02,-6.31
99,108.5,-8.68,-6.47
100,113.32,-4.34,-6.23
101,108.98,-6.75,-6.47
102,103.2,-10.12,-6.99
103,98.37,-16.4,-8.0
104,99.34,-13.98,-8.76
105,100.78,-13.51,-9.76
106,94.71,-18.13,-10.99
107,103.2,-8.68,-11.2
108,101.27,-7.23,-11.08
109,102.23,-2.41,-10.27
110,105.61,-0.48,-9.23
111,105.61,-2.89,-8.74
112,108.02,-5.3,-8.82
113,107.54,-1.44,-8.38
114,105.61,2.41,-7.34
115,107.05,8.68,-5.25
116,109.46,10.12,-3.24
117,110.43,9.65,-1.31
118,108.02,13.31,1.31
119,107.05,3.85,2.36
120,108.02,6.75,3.52
121,106.57,4.34,4.08
122,106.57,0.96,4.2
123,105.61,0.0,4.44
124,106.57,-1.45,4.76
125,109.46,1.92,5.04
126,108.98,3.37,5.12
127,107.54,0.49,4.44
128,108.98,-0.48,3.56
129,107.54,-2.89,2.51
130,104.64,-3.38,1.12
131,104.64,-2.41,0.6
132,107.54,-0.48,-0.0
133,108.98,2.41,-0.16
134,108.98,2.41,-0.04
135,107.54,1.93,0.12
136,107.54,0.97,0.32
137,108.02,-1.44,0.04
138,108.02,-0.96,-0.32
139,107.54,0.0,-0.36
140,112.84,3.86,0.0
141,112.36,4.82,0.64
142,110.91,6.27,1.45
143,111.39,6.75,2.21
144,109.95,2.41,2.45
145,110.91,1.93,2.41
146,112.36,3.38,2.49
147,111.88,4.34,2.69
148,115.25,7.71,3.26
149,115.25,7.23,3.98
150,112.36,4.34,4.42
151,110.43,2.89,4.66
152,108.5,-4.34,3.98
153,110.5,-1.86,3.42
154,110.5,-0.41,2.86
155,110.0,-1.39,2.19
156,111.5,1.55,2.11
157,110.5,-0.41,1.92
158,111.0,-1.36,1.52
159,110.0,-1.88,1.01
160,113.0,-2.25,0.18
161,111.5,-3.75,-0.74
162,112.0,-0.36,-1.13
163,112.0,1.57,-1.24
164,112.5,4.0,-0.55
165,112.0,1.5,-0.27
166,108.5,-2.0,-0.4
167,109.0,-1.0,-0.37
168,109.0,-2.5,-0.7
169,109.0,-1.5,-0.79
170,107.5,-3.5,-0.97
171,107.5,-2.5,-1.02
172,107.0,-6.0,-1.34
173,103.0,-8.5,-1.73
174,104.5,-7.5,-2.33
175,107.5,-4.5,-2.83
176,109.0,-3.5,-3.46
177,108.5,-3.5,-3.88
178,107.5,-1.0,-3.79
179,108.0,-1.0,-3.79
180,109.0,0.0,-3.58
181,111.0,2.0,-3.29
182,111.0,3.5,-2.71
183,111.5,4.0,-2.17
184,112.5,5.5,-1.21
185,111.0,8.0,0.17
186,108.5,4.0,1.12
