,close,volume,dif,obv,obv-ma
0,79.95,24728091,,12364046.0,
1,79.76,34377676,-1.0,17188838.0,
2,79.08,30592924,-1.0,15296462.0,
3,79.95,47939163,1.0,23969582.0,
4,84.77,163202466,1.0,81601233.0,
5,84.49,118078656,-1.0,59039328.0,
6,85.84,67687451,1.0,33843726.0,
7,84.58,54001144,-1.0,27000572.0,
8,84.49,61132200,-1.0,30566100.0,
9,84.58,47831161,1.0,23915580.0,
10,84.0,38829235,-1.0,19414618.0,
11,85.06,46567554,1.0,23283777.0,
12,84.68,28002430,-1.0,14001215.0,
13,84.58,27662859,-1.0,13831430.0,
14,84.87,28796357,1.0,14398178.0,
15,84.58,93748698,-1.0,46874349.0,
16,85.64,56084453,1.0,28042226.0,
17,86.41,41068845,1.0,20534422.0,
18,88.54,113953143,1.0,56976572.0,
19,88.54,67270084,0.0,33635042.0,29788865.0
20,87.19,45541806,-1.0,22770903.0,30309208.0
21,88.34,40032714,1.0,20016357.0,30450584.0
22,88.73,32172356,1.0,16086178.0,30490069.0
23,96.35,232054808,1.0,116027404.0,35092960.0
24,100.3,232720464,1.0,116360232.0,36830910.0
25,101.27,220680394,1.0,110340197.0,39395954.0
26,103.2,113608177,1.0,56804088.0,40543972.0
27,104.16,114222138,1.0,57111069.0,42049497.0
28,103.68,70025114,-1.0,35012557.0,42271820.0
29,100.3,105949230,-1.0,52974615.0,43724771.0
30,102.71,78943569,1.0,39471784.0,44727630.0
31,111.88,316406354,1.0,158203177.0,51473600.0
32,111.39,170231060,-1.0,85115530.0,55029316.0
33,109.95,94781807,-1.0,47390904.0,56707289.0
34,110.91,86180045,1.0,43090022.0,58141881.0
35,110.43,132669313,-1.0,66334656.0,59114897.0
36,112.84,86888141,1.0,43444070.0,59884989.0
37,117.18,220512284,1.0,110256142.0,64371075.0
38,118.63,140354341,1.0,70177170.0,65031105.0
39,117.66,128809261,-1.0,64404630.0,66569584.0
40,118.63,88077943,1.0,44038972.0,67632988.0
41,114.29,123343574,-1.0,61671787.0,69715759.0
