,close,trend,trend-ah,trend-nh,trend-nl,trend-al
0,79.95,104.26,121.24,112.75,95.77,87.28
1,79.76,104.28,121.26,112.77,95.79,87.3
2,79.08,104.3,121.28,112.79,95.81,87.32
3,79.95,104.32,121.3,112.81,95.83,87.34
4,84.77,104.34,121.32,112.83,95.85,87.36
5,84.49,104.36,121.34,112.85,95.87,87.38
6,85.84,104.38,121.36,112.87,95.89,87.4
7,84.58,104.4,121.38,112.89,95.91,87.42
8,84.49,104.42,121.4,112.91,95.93,87.44
9,84.58,104.44,121.42,112.93,95.95,87.46
10,84.0,104.46,121.44,112.95,95.97,87.48
11,85.06,104.49,121.47,112.98,96.0,87.51
12,84.68,104.51,121.49,113.0,96.02,87.53
13,84.58,104.53,121.51,113.02,96.04,87.55
14,84.87,104.55,121.53,113.04,96.06,87.57
15,84.58,104.57,121.55,113.06,96.08,87.59
16,85.64,104.59,121.57,113.08,96.1,87.61
17,86.41,104.61,121.59,113.1,96.12,87.63
18,88.54,104.63,121.61,113.12,96.14,87.65
19,88.54,104.65,121.63,113.14,96.16,87.67
20,87.19,104.67,121.65,113.16,96.18,87.69
21,88.34,104.69,121.67,113.18,96.2,87.71
22,88.73,104.71,121.69,113.2,96.22,87.73
23,96.35,104.74,121.72,113.23,96.25,87.76
24,100.3,104.76,121.74,113.25,96.27,87.78
25,101.27,104.78,121.76,113.27,96.29,87.8
26,103.2,104.8,121.78,113.29,96.31,87.82
27,104.16,104.82,121.8,113.31,96.33,87.84
28,103.68,104.84,121.82,113.33,96.35,87.86
29,100.3,104.86,121.84,113.35,96.37,87.88
30,102.71,104.88,121.86,113.37,96.39,87.9
31,111.88,104.9,121.88,113.39,96.41,87.92
32,111.39,104.92,121.9,113.41,96.43,87.94
33,109.95,104.94,121.92,113.43,96.45,87.96
34,110.91,104.96,121.94,113.45,96.47,87.98
35,110.43,104.99,121.97,113.48,96.5,88.01
36,112.84,105.01,121.99,113.5,96.52,88.03
37,117.18,105.03,122.01,113.52,96.54,88.05
38,118.63,105.05,122.03,113.54,96.56,88.07
39,117.66,105.07,122.05,113.56,96.58,88.09
40,118.63,105.09,122.07,113.58,96.6,88.11
41,114.29,105.11,122.09,113.6,96.62,88.13
42,107.54,105.13,122.11,113.62,96.64,88.15
43,108.98,105.15,122.13,113.64,96.66,88.17
44,112.36,105.17,122.15,113.66,96.68,88.19
45,112.36,105.19,122.17,113.68,96.7,88.21
46,109.95,105.21,122.19,113.7,96.72,88.23
47,109.46,105.23,122.21,113.72,96.74,88.25
48,109.95,105.26,122.24,113.75,96.77,88.28
49,108.98,105.28,122.26,113.77,96.79,88.3
50,106.09,105.3,122.28,113.79,96.81,88.32
51,107.05,105.32,122.3,113.81,96.83,88.34
52,107.54,105.34,122.32,113.83,96.85,88.36
53,106.57,105.36,122.34,113.85,96.87,88.38
54,112.36,105.38,122.36,113.87,96.89,88.4
55,108.02,105.4,122.38,113.89,96.91,88.42
56,108.02,105.42,122.4,113.91,96.93,88.44
57,111.39,105.44,122.42,113.93,96.95,88.46
58,110.43,105.46,122.44,113.95,96.97,88.48
59,110.91,105.48,122.46,113.97,96.99,88.5
60,109.46,105.51,122.49,114.0,97.02,88.53
61,110.91,105.53,122.51,114.02,97.04,88.55
62,111.39,105.55,122.53,114.04,97.06,88.57
63,112.84,105.57,122.55,114.06,97.08,88.59
64,115.73,105.59,122.57,114.08,97.1,88.61
65,116.7,105.61,122.59,114.1,97.12,88.63
66,118.63,105.63,122.61,114.12,97.14,88.65
67,121.52,105.65,122.63,114.14,97.16,88.67
68,124.9,105.67,122.65,114.16,97.18,88.69
69,119.11,105.69,122.67,114.18,97.2,88.71
70,125.38,105.71,122.69,114.2,97.22,88.73
71,125.86,105.73,122.71,114.22,97.24,88.75
72,123.45,105.76,122.74,114.25,97.27,88.78
73,122.0,105.78,122.76,114.27,97.29,88.8
74,122.0,105.8,122.78,114.29,97.31,88.82
75,123.93,105.82,122.8,114.31,97.33,88.84
76,124.9,105.84,122.82,114.33,97.35,88.86
77,119.59,105.86,122.84,114.35,97.37,88.88
78,117.18,105.88,122.86,114.37,97.39,88.9
79,119.11,105.9,122.88,114.39,97.41,88.92
80,118.14,105.92,122.9,114.41,97.43,88.94
81,115.73,105.94,122.92,114.43,97.45,88.96
82,116.22,105.96,122.94,114.45,97.47,88.98
83,118.14,105.98,122.96,114.47,97.49,89.0
84,117.18,106.01,122.99,114.5,97.52,89.03
85,116.7,106.03,123.01,114.52,97.54,89.05
86,119.11,106.05,123.03,114.54,97.56,89.07
87,117.18,106.07,123.05,114.56,97.58,89.09
88,117.66,106.09,123.07,114.58,97.6,89.11
89,115.73,106.11,123.09,114.6,97.62,89.13
90,113.32,106.13,123.11,114.62,97.64,89.15
91,114.77,106.15,123.13,114.64,97.66,89.17
92,113.32,106.17,123.15,114.66,97.68,89.19
93,114.29,106.19,123.17,114.68,97.7,89.21
94,112.84,106.21,123.19,114.7,97.72,89.23
95,111.88,106.23,123.21,114.72,97.74,89.25
96,108.5,106.25,123.23,114.74,97.76,89.27
97,104.64,106.28,123.26,114.77,97.79,89.3
98,106.09,106.3,123.28,114.79,97.81,89.32
99,108.5,106.32,123.3,114.81,97.83,89.34
100,113.32,106.34,123.32,114.83,97.85,89.36
101,108.98,106.36,123.34,114.85,97.87,89.38
102,103.2,106.38,123.36,114.87,97.89,89.4
103,98.37,106.4,123.38,114.89,97.91,89.42
